species,island,site,vegzoneHumid,vegzoneTransition,vegzoneArid,microhabitat,Centroidsize,shape1,shape2,shape3,shape4,shape5,shape6,shape7,shape8,shape9,shape10,shape11,shape12,shape13,shape14,shape15,shape16,shape17,shape18,shape19,shape20,shape21,shape22,shape23,shape24,shape25,shape26,shape27,shape28
adelphus,SC,SC14N16,NA,NA,1,terrestrial,24.82994097,-0.098111836,-0.007857019,-0.037169621,0.012780296,-2.49e-5,0.024895725,0.001938325,0.013360895,-0.00367555,-0.004057084,-0.005060516,0.002280442,-0.006930335,-0.005494344,0.005622284,-9.38554e-4,0.005711258,-0.003437146,9.24533e-4,4.23031e-4,-0.002911705,8.51767e-4,-0.002140538,-0.001611934,-0.001046387,0.001051719,9.62822e-4,1.6683e-4
adelphus,SC,SC14N16,NA,NA,1,terrestrial,24.13238338,-0.107336654,-0.006003783,-0.04108651,0.004770914,-0.001983487,0.010387876,0.006590732,0.006465689,-0.002180558,0.007551792,0.009339927,-0.007725078,0.007261657,0.002355536,-0.001912283,1.95908e-4,0.003176574,-0.006281659,0.002613674,-0.001138192,2.11132e-4,6.47988e-4,-0.001163023,0.002022884,0.001834736,6.4486e-4,0.00126433,5.37837e-4
adelphus,SC,SC14N16,NA,NA,1,terrestrial,27.29828054,-0.09798179,-0.004274085,-0.051537733,0.012849223,-0.017749677,0.015553136,-0.020835645,0.003670127,-0.001169496,5.54051e-4,-0.007253722,-0.011784849,-0.001543045,-0.002529312,0.002853333,-1.54235e-4,0.002739837,-0.006840567,0.002910952,0.003414755,-0.001250627,-0.001390562,-3.58829e-4,1.45004e-4,9.05035e-4,0.001915919,4.00438e-4,-2.03786e-4
adelphus,SC,SC14N16,NA,NA,1,terrestrial,25.69732377,-0.115557682,-0.00936829,-0.049714116,0.024552912,0.006443948,0.007622982,-0.017834585,0.015082147,-0.005133992,0.005483229,-0.013300281,-0.005770604,-0.001930356,-0.005327492,0.007245863,1.60473e-4,0.004253299,-0.008943965,-1.31703e-4,0.001447485,-0.00242452,2.6019e-4,-2.57693e-4,-0.001444011,7.26348e-4,-2.18201e-4,-1.96467e-4,1.08e-5
adelphus,SC,SC14N16,NA,NA,1,terrestrial,26.32139665,-0.12082737,-0.013133134,-0.059769522,0.02016659,0.002542674,0.020213101,-0.012429758,0.001606345,-0.00510885,-0.006694165,-0.010216585,-0.007921209,0.002358959,-0.005257638,0.005146736,-0.00421073,0.001451199,-0.0041771,3.16753e-4,0.004799258,-0.004683841,0.001905554,-7.48939e-4,-7.40667e-4,0.002885665,0.001338911,2.23922e-4,-1.0792e-4
adelphus,SC,SC14N16,NA,NA,1,terrestrial,26.72036489,-0.095976655,-0.017996277,-0.024275209,0.014642861,0.009427301,-0.006118482,-0.00398825,-5.46861e-4,-0.003312327,-8.61985e-4,-6.48135e-4,-0.008089129,-0.002688269,-0.005386209,0.002077197,-0.003198091,0.006774581,9.69484e-4,0.004939996,5.00008e-4,-5.23641e-4,-0.002111971,-1.37e-5,5.31979e-4,-8.13266e-4,5.49091e-4,6.71743e-4,1.34661e-4
adelphus,SC,SC14N16,NA,NA,1,terrestrial,25.9671225,-0.105535482,-0.005558891,-0.028297513,0.024867963,0.009555161,0.012123572,0.002644066,0.011960616,-0.006018036,-0.001156622,-0.006540235,-0.001122141,-0.002344167,-0.005793622,0.002910151,1.67501e-4,0.003480745,0.002015653,3.24379e-4,0.00380808,-0.002076659,-9.71666e-4,-3.629e-4,-8.94303e-4,-2.46959e-4,3.15711e-4,1.29e-5,-3.38544e-4
adelphus,SC,SC14N16,NA,NA,1,terrestrial,25.83361612,-0.14840195,-0.027022257,-0.067270481,0.009463667,0.025587584,0.00505656,-0.006439454,0.004476889,-2.62449e-4,-0.008830529,-0.005648667,-0.007631893,-0.003131793,-0.005992539,2.6255e-4,0.001368725,0.004605509,-9.53779e-4,0.001801013,0.001415793,-0.002334338,1.15313e-4,5.32421e-4,-0.001491834,4.7922e-4,0.001437468,5.83237e-4,-2.41139e-4
adelphus,SC,SC14N16,NA,NA,1,terrestrial,26.55622449,-0.102014541,-0.012934875,-0.031237367,0.016204407,0.001345631,0.013639573,-0.011515619,0.0103003,-0.001559678,-0.010616294,-0.001319044,-0.010029967,3.62886e-4,0.003225967,0.003747392,-0.002452137,0.00112855,-0.00629427,0.002527975,0.003885547,0.001394338,-0.001676868,-0.002928594,-0.001122643,4.67627e-4,6.34552e-4,-1.66202e-4,-7.53e-5
akamatus,SC,SC01-04,NA,1,NA,terrestrial,17.79435069,-0.05814411,0.028974126,-0.002745612,0.035421777,0.00110185,-0.001036702,0.003703231,-0.006175577,-0.016645238,-0.004125684,-0.005703323,0.002412795,-0.001780317,0.004891767,-0.009094886,-0.001883436,-0.005822662,-0.002437026,-1.36949e-4,-0.003871792,-0.00176393,6.68782e-4,-0.00192324,8.41851e-4,0.001803511,6.30772e-4,2.02601e-4,-3.29608e-4
akamatus,SC,SC01-04,NA,1,NA,terrestrial,18.88661873,-0.062265224,0.010366549,-0.006253921,0.026582312,-0.005869362,0.009671586,-0.002903646,0.011266023,-0.00714277,-0.003367742,6.67613e-4,-0.002701205,-0.002058299,0.001783911,0.003091758,7.85431e-4,-2.31875e-4,0.001566625,-0.00124017,-5.50588e-4,-0.002417123,-0.001116733,-0.001351905,-1.02123e-4,2.07447e-4,-9.53e-5,-7.94e-5,2.03154e-4
akamatus,SC,SC01-04,NA,1,NA,terrestrial,18.65114885,-0.039293127,0.030534185,0.004975568,0.021925485,-0.002335574,0.010076017,0.003786983,0.002436945,-7.83522e-4,2.63485e-4,-0.002545476,0.001219391,0.002702349,0.001805743,0.001193408,0.004465428,-7.97146e-4,-3.39333e-4,0.002584905,-0.006277184,-0.003450944,7.39329e-4,-2.19746e-4,5.58048e-4,2.79231e-4,1.08977e-4,3.49893e-4,3.78838e-4
akamatus,SC,SC01-04,NA,1,NA,terrestrial,19.78686164,-0.013786077,0.009039677,0.016975131,0.027363698,5.37789e-4,0.007367575,-0.005181311,0.001708336,3.65919e-4,-0.009749045,0.009182352,-0.001162345,0.004044213,-2.92855e-4,-0.003282007,-0.001291666,0.00234915,-0.00168958,0.002362259,-0.0042747,-3.46728e-4,-3.3139e-4,1.90361e-4,-1.99144e-4,1.62486e-4,6.7e-5,8.36e-6,6.542e-4
akamatus,SC,SC01-04,NA,1,NA,terrestrial,18.8616984,-0.023363482,0.038894231,0.009111291,0.030813083,-0.007488381,0.013789521,3.07345e-4,-0.003412946,-0.004647085,0.003896839,-0.00443451,-0.007788082,8.59265e-4,5.59635e-4,-9.09099e-4,-0.001486649,-0.002025216,-0.00241305,-0.002102571,-0.003703018,0.00179566,0.003365472,-8.42285e-4,1.57489e-4,-2.4e-5,-1.92675e-4,5.44442e-4,1.29312e-4
akamatus,SC,SC01-04,NA,1,NA,terrestrial,17.87132419,-0.083218381,0.014356683,-0.014644258,0.017457903,1.83842e-4,0.001641423,-2.29848e-4,0.011437795,-0.005505854,0.001248224,-4.81896e-4,0.004804216,-0.001172734,0.007618594,5.7001e-4,4.27452e-4,8.97584e-4,-0.002625243,1.68e-5,-0.004434054,-0.002822607,0.005801575,-0.001881916,2.38e-5,9.94124e-4,2.79239e-4,0.00111182,6.40808e-4
akamatus,SC,SC01-04,NA,1,NA,terrestrial,20.5577403,-0.029318285,-0.009788867,0.025368379,0.020601636,-0.01182619,0.01436903,-0.001430299,0.00622694,-0.008246628,-0.00375682,-8.99626e-4,-0.0027112,0.003034611,0.004751522,0.007338042,0.004341657,-1.48586e-4,-0.001919453,0.003435387,-8.75939e-4,0.001705573,0.002128582,-9.99572e-4,-0.001200193,-1.95291e-4,-4.82369e-4,-4.04697e-4,3.426e-4
akamatus,SC,SC01-04,NA,1,NA,terrestrial,18.03168515,-0.072071084999999993,0.014976931,-0.017010968,0.027567804,-0.002542998,0.003509192,-0.004944077,0.010755531,-0.007168294,-0.015106435,-0.002428584,0.002496525,-0.00235629,0.002188911,-0.005696522,-7.2e-5,0.002751494,-0.002877465,0.001086661,-0.005470617,-4.49137e-4,3.67621e-4,-0.001887686,-9.52871e-4,-1.90939e-4,0.001303198,9.19301e-4,0.001121134
akamatus,SC,SC01-04,NA,1,NA,terrestrial,19.40027213,-0.028271024,0.01257436,0.024455025,0.034101076,-0.001198012,-0.00466094,6.35824e-4,-0.002229381,0.00438424,4.94815e-4,8.94305e-4,-0.003034679,0.003000386,0.010570373,-0.004188504,2.40861e-4,0.003143377,-0.001983749,0.002997615,-3.85089e-4,3.97749e-4,0.001932114,-9.57e-5,-2.73586e-4,4.18e-5,3.39447e-4,-4.98e-5,4.01744e-4
akamatus,SC,SC01-04,NA,1,NA,terrestrial,18.51121813,-0.074936125,0.020236354,0.005382464,0.011821111,0.012148671,1.59068e-4,0.005429589,0.011369647,-0.011845909,-0.009044069,-0.003889919,-0.002785198,0.004235523,9.7322e-4,-6.0636e-4,-2.20735e-4,0.001988858,0.001385254,0.001027195,-4.14543e-4,8.53898e-4,0.00310461,-2.06096e-4,-0.001021034,-3.86e-5,-2.51512e-4,1.67274e-4,-2.00716e-4
akamatus,SC,SC01-04,NA,1,NA,terrestrial,19.25335627,-0.039054155,0.009562604,0.011456352,0.029804914,0.003495324,0.001031112,0.001978699,0.003149856,-0.002096195,3.70869e-4,-0.00162288,-0.003471112,0.003532375,0.003844443,-0.003845182,-0.004241974,-0.004498795,4.32017e-4,0.001469759,2.41073e-4,-0.001578263,0.001900913,-0.001602204,3.25012e-4,6.7294e-4,5.36e-5,-2.01984e-4,1.22e-5
akamatus,SC,SC01-04,NA,1,NA,terrestrial,17.32395492,-0.068858126,4.71043e-4,0.007717073,0.033356619,0.003776377,-0.004323641,0.004237259,-0.002215104,-0.004757666,-1.74675e-4,0.003730171,0.002287552,-7.9986e-4,0.007711691,-0.001486577,0.001902507,2.48e-5,-0.002433782,-0.001678644,6.09e-5,8.56629e-4,0.001446261,-0.0012076,-4.91027e-4,7.9454e-4,5.42668e-4,-9.05e-5,2.78138e-4
akamatus,SC,SC01-04,NA,1,NA,terrestrial,17.94735066,-0.078547618,0.037082023,-0.00331566,0.021402716,0.016313174,-0.004052728,-8.89196e-4,-0.00672865,-0.012070433,2.66836e-4,-0.007745131,0.001947017,-0.006151695,0.011364935,-0.0024004,-0.002379258,0.006596653,0.002512258,-0.001522499,-5.76847e-4,-6.78501e-4,0.004306597,-2.01e-5,-7.63423e-4,0.001152537,6.60039e-4,0.001754377,-0.001106533
akamatus,SC,SC01-04,NA,1,NA,terrestrial,17.95008971,-0.037699346,0.01722298,0.010211782,0.013485074,0.00257802,-0.005926132,-0.016740184,0.009592991,-0.001747298,0.005892317,0.00564585,0.00235432,-0.003390996,-0.00368225,-0.005248067,-5.47481e-4,2.07158e-4,0.004009122,-0.002552565,0.001131791,-2.26547e-4,0.00379224,-8.84e-5,-1.31224e-4,-2.48556e-4,-1.56393e-4,-1.42136e-4,1.48e-5
akamatus,SC,SC01-04,NA,1,NA,terrestrial,18.93483242,-0.028935768,0.036206784,0.008095596,0.022523238,-0.011343224,0.012362405,0.004333965,0.002953955,-0.002798002,-0.002229566,-0.005342124,-0.005199536,0.004372466,-6.89857e-4,-5.20499e-4,-4.47e-5,-7.6777e-4,4.08692e-4,0.003643356,9.36678e-4,0.002322023,0.002981725,-2.69905e-4,4.21641e-4,-4.64282e-4,-9.57e-5,4.78314e-4,-1.089e-4
akamatus,SC,SC01-04,NA,1,NA,terrestrial,18.30783516,-0.057463146,0.007840196,0.002604627,0.035262882,0.002254651,0.014340068,0.006811592,0.01017232,-0.009658684,0.002502552,-0.005122513,-0.003230472,0.002187066,7.95e-5,0.002099046,0.003826278,0.005284847,1.29396e-4,0.003429213,0.001311806,6.2214e-4,0.001571126,-9.7408e-4,-2.99476e-4,-6.59e-5,-8.28897e-4,2.31409e-4,3.35956e-4
albermarlensis,SN,SN14-04,1,NA,NA,arboreal,17.41695032,-0.081321954,0.015805634,-0.025856661,-0.005554432,0.013648832,0.006617131,-4.28295e-4,-0.015246291,-0.001675548,0.007642954,-0.001931082,0.002962905,1.89492e-4,-0.006681142,0.00520949,-0.005499553,0.005527594,0.001144799,2.47851e-4,-0.001671775,0.001377808,0.001224254,0.002276563,7.19722e-4,1.79871e-4,5.00757e-4,0.001146921,1.08791e-4
albermarlensis,SN,SN14-04,1,NA,NA,arboreal,16.3467313,-0.118640152,0.014420229,-0.03409083,-0.004900525,0.019143584,-4.74042e-4,-0.013626943,-0.006110703,-0.005896823,0.008437122,0.0028575,-9.21924e-4,-0.005803645,-0.001037,0.004430373,-0.001526397,4.95195e-4,-7.6127e-4,0.001147934,0.002082234,0.001070687,0.001708341,0.002614213,-0.001326819,2.30984e-4,-1.48698e-4,2.50924e-4,2.17342e-4
albermarlensis,SN,SN14-04,1,NA,NA,arboreal,17.78332598,-0.094664695,7.91655e-4,-0.02952455,-0.017901637,0.016054328,0.008670137,-0.017510453,-0.002967273,-0.002998333,0.00460932,-0.003729474,-0.001847401,9.70487e-4,-8.20382e-4,6.35497e-4,-0.005419695,-0.001066288,4.95685e-4,9.65651e-4,2.42776e-4,1.19725e-4,0.001818183,0.001370336,-0.002213219,6.09671e-4,-9.45859e-4,5.1669e-4,-4.20021e-4
albermarlensis,SN,SN14-04,1,NA,NA,arboreal,18.37445795,-0.083941448,0.025665204,-0.02177236,-0.017797702,-7.21068e-4,0.011311899,-0.012868778,-0.011983076,-0.010120252,0.01450047,-0.00340154,-3.94628e-4,-0.0023620720000000002,-0.00334113,0.007082498,-7.92211e-4,4.16948e-4,-7.56221e-4,-4.91e-5,-0.002189003,-7.82031e-4,5.37711e-4,0.00373179,-0.001027607,0.002225713,-1.8682e-4,0.001054236,6.82911e-4
albermarlensis,SN,SN14-04,1,NA,NA,arboreal,18.78462709,-0.082845401,-0.00976684,-0.013663122,-0.002775023,0.032270143,0.015741185,0.005691897,-0.002256931,-0.005916865,0.004770644,0.003217547,-0.006137016,-0.004166944,-0.004543152,0.003060071,2.16225e-4,-0.002118081,2.87248e-4,0.003687087,0.003290013,0.002665308,-0.001081107,3.38e-5,8.64206e-4,-0.002140875,-0.003313254,-2.92446e-4,7.89e-6
albermarlensis,SN,SN14-04,1,NA,NA,arboreal,18.17258471,-0.093324884,0.003142387,-0.0209539,0.003548748,6.26782e-4,0.002992832,-0.018070872,-0.002619061,-0.006383333,0.005083071,-0.005964147,-0.006004512,-5.68144e-4,-0.002176413,0.006635987,-0.002665711,0.001318699,-0.002415965,3.04073e-4,-0.002102888,-0.001207607,0.001556534,0.001554361,-0.001048169,0.001023775,-1.97647e-4,5.96647e-4,1.73151e-4
